name,short_description,size,url,price,category1,category_ids
Gróf Degenfeld Tokaji Aszú 5 Puttonyos 2002,"“Rich golden colour, caramel and apricot perfume, intense sweetness that is well balanced by marmalade, peach and floral flavours. Long, complex length.”",50cl,http://www.amathusdrinks.com/tokaji-aszu-5-puttonyo.html,21.84,Wine,"7,104,399"
Gróf Degenfeld Tokaji Aszú 6 Puttonyos 2000,"""Golden in colour with amber hints. Opulent aromas of honey, caramel, apricot jam and marmalade, all intensified on the palate with crisp acidity to balance the luscious sweetness. Incredibly long finish.”",25cl,http://www.amathusdrinks.com/tokaji-aszu-6-puttonyos-2000-grof-degenfeld.html,16.55,Wine,"7,104,399"
Green Point by Chandon Brut 2004,,75cl,http://www.amathusdrinks.com/green-point-by-chandon-brut-2004.html,11.82,Wine,"7,200,201"
Australian Green Point NV,,75cl,http://www.amathusdrinks.com/australian-green-point-nv.html,10.16,Wine,"7,200,201"
Cavalier Brut,,NV,http://www.amathusdrinks.com/g-f-cavalier-brut-vin-mousseux.html,5.31,Wine,"7,200,201"
Henkell Trocken,,75cl,http://www.amathusdrinks.com/henkell-trocken.html,7.34,Wine,"7,200,201"
Terra Serena Rosato Spumante,"""Red cherry and cranberry nose, with delicate lively bubbles and a fruity crisp finish.""",75cl,http://www.amathusdrinks.com/terra-serena-rosato-spumante.html,6.75,wines,"200,203,666"
Terra Serena Prosecco DOC,"""Lemon and fresh apple aromas, fine persistent bubbles, crisp, dry and refreshing.""",75cl,http://www.amathusdrinks.com/terra-serena-prosecco-doc.html,6.5,wines,"200,203,666"
Prosecco Valdobbiadene Millesimato 2010,"“Light and delicate with fresh aromas of wild flowers, apple, pear and honey. This is perfect as an aperitif or accompaniment to Asian and Italian cuisine, or as the main cocktail ingredient in the famous Bellini.”",75cl,http://www.amathusdrinks.com/prosecco-valdobbiadene-millesimato-docg-2010.html,8.52,Wine,"7,200,203,507"
Prosecco Valdobbiadene Millesimato 2009,"“Light and delicate with fresh aromas of wild flowers, apple, pear and honey. This is perfect as an aperitif or accompaniment to Asian and Italian cuisine, or as the main cocktail ingredient in the famous Bellini.”",150cl,http://www.amathusdrinks.com/prosecco-valdobbiadene-millesimato-vald-oca-2005.html,20.71,Wine,"7,200,203,507"
Val D'Oca Prosecco DOC 2008,“Fresh floral nose with great lemon flavours on the palate and a gentle fizz.”,75cl,http://www.amathusdrinks.com/val-d-oca-prosecco-doc-2008.html,6.94,Wine,"7,200,203,507"
Vin de Table Français Blanc (dry),,75cl,http://www.amathusdrinks.com/vin-de-table-francais-dry-white.html,3.74,Wine,"7,12,113"
"Les Armoiries Blanc, Côtes Du Rhône 2009","Tasting Note: ""Pale golden in colour.  Expressive floral and peach nose, with apricots, fresh herbs and lemon juice coming through on the medium body palate. Great with herb roasted chicken or white fish.""",75cl,http://www.amathusdrinks.com/les-armoiries-blanc-cotes-du-rhone-2009.html,4.84,Wine,"7,12,113,116,441"
Finca Cerrada Viura 2009,"Tasting Note: ""Lemon and pineapple aromas dominate the elegant nose, followed by a minerality that adds a great level of complexity and interest. On the palate the wine is crisp, dry and citrus dominated. Very easy drinking.""",75cl,http://www.amathusdrinks.com/finca-cerrada-viura-2009.html,4.33,Wine,"7,12,113,207,519"
Seven Sisters Chenin Blanc Yolanda 2008,"Tasting Note: ""Fresh lemon, passion fruit and tropical guava on the nose. Great crisp acidity and full flavour on the palate with a refreshing finish."" ",75cl,http://www.amathusdrinks.com/seven-sisters-chenin-blanc-yolanda-2008.html,5.13,Wine,"7,12,114,123,409"
The Auction Crossing Viognier 2008,"Tasting Note: ""Incredible nose! Elegant yet bold apricots and peach perfume that is a delight.  The palate is dry and clean with the flavours becoming more crisp and good medium acidity. Long finish.""",75cl,http://www.amathusdrinks.com/the-auction-crossing-viognier-2007-2008.html,6.45,Wine,"7,12,116,413"
"Les Armoiries Blanc, Côtes Du Rhône 2009",,37.5cl,http://www.amathusdrinks.com/les-armoiries-blanc-cdr-2009.html,3.06,Wine,"7,12,116,441"
Cape Mentelle Semillon/Sauvignon 2008,,75cl,http://www.amathusdrinks.com/cape-mentelle-semillon-sauvignon-2008.html,9.39,Wine,"7,12,13"
Acrobat Semillon Sauvignon Blanc 2009,"""Pale lemon colour, bursting with lime, lemon and blossom aromas. Crisp acidity and passionfruit and gooseberry flavours on the palate make this a truly mouth watering wine, with an elegent intense finish.""",75cl,http://www.amathusdrinks.com/acrobat-semillon-sauvignon-blanc-2009.html,4.59,Wine,"7,12,13,455"
Sillogi Moraitis Assyrtiko/Malagousia 2009,"Tasting Note: ""Rosemary and baked lemons on the nose, with continued herbaceous and citrus flavours on the palate.""
",75cl,http://www.amathusdrinks.com/sillogi-assyrtiko-malagousia-2007.html,7.45,Wine,"7,12,131"
Louis Sipp Pinot Gris Nature'S 2008,"""Intense tropical fruit, citrus peel and spice. Delicate acidity and exotic spice flavours balance each other brilliantly."" ",75cl,http://www.amathusdrinks.com/louis-sipp-pinot-gris-nature-s-2008.html,11.04,Wine,"7,12,134,377"
Evergreen Spruce Goose Oregon Pinot Gris 2008,"“This classic Oregon-style Pinot Gris with notes of apple, pear, and melon and hints of citrus is bright and crisp with a silky mouth feel. Its pleasing texture gives the impression of layering.”",75cl,http://www.amathusdrinks.com/evergreen-spruce-goose-oregon-pinot-gris-2008.html,9.49,Wine,"7,12,134,429"
Cantarutti Pinot Grigio Friuli 2007,"Tasting Note: ""Copper coloured, rich and luxurious Pinot Grigio! Intense citrus and tropical fruits on the nose and excellent refreshing acidity on the nose, well balanced by persistent ripe citrus flavours. A well made and generous pinot grigio that bucks the trend.""",75cl,http://www.amathusdrinks.com/cantarutti-pinot-grigio-2007-friuli.html,5.85,Wine,"7,12,134,475"
Cantarutti Ronco San Michele Pinot Grigio 2001,"Tasting Note: ""Award winning, traditionally aged Pinot Grigio! This has been aged in barrel and bottle and is much more akin to a great white burgundy. Wonderful almond and lemon aromas on the nose, with a rich vanilla and citrus palate and elegant acidity. Very long length.""",75cl,http://www.amathusdrinks.com/cantarutti-ronco-san-michele-pinot-grigio-2001.html,16.75,Wine,"7,12,134,475"
Colli Argento Pinot Grigio Veneto 2010,"Tasting Note:  ""Classic grapefruit and lemon aromas, the citrus flavours continue on the palate balanced well by high acidity making it very refreshing.""
",75cl,http://www.amathusdrinks.com/colli-argento-pinot-grigio-2010-veneto.html,4.39,Wine,"7,12,134,517"
Terrazas Torrontés Reserva 2007,,75cl,http://www.amathusdrinks.com/terrazas-torrentes-reserva-2007.html,9.15,Wine,"7,12,25"
Carelli 34° Torrontes 2010,"Tasting Note: ""Tropical fruit nose of passion fruit, pineapple, guava with a squeeze of lime followed by a mouth watering crisp but juicy palate. The fruits are still identifiable on the clean finish.""
",75cl,http://www.amathusdrinks.com/latitud-34-torrontes-2009.html,4.89,Wine,"7,12,25,437"
Cloudy Bay Chardonnay 2006,"Tasting Note: ""The scent of white flowers and fresh citrus fruits - lemons, limes and grapefruit - all temptingly mingled with the savoury complexity of toasted nuts and oatmeal. The silky palate shows lively citrus flavours and seamlessly integrated spicy French oak. Cloudy Bay Chardonnay 2006 depicts the combination of natural yeast fermentation and vibrant Marlborough fruit in a wine that will age gracefully over the next five to seven years.""
",75cl,http://www.amathusdrinks.com/cloudy-bay-chardonnay-2006.html,14.9,Wine,"7,12,27"
Terrazas Chardonnay Reserva 2008,,75cl,http://www.amathusdrinks.com/terrazas-chardonnay-reserva-2007.html,9.62,Wine,"7,12,27"
La Cetto Chardonnay 2007,,75cl,http://www.amathusdrinks.com/la-cetto-chardonnay-2007.html,6.29,Wine,"7,12,27"
Cave de Lugny Macon Villages Chardonnay 2009,,75cl,http://www.amathusdrinks.com/cave-de-lugny-macon-villages-chardonnay-2009.html,5.9,Wine,"7,12,27"
CYT Chardonnay 2008,,75cl,http://www.amathusdrinks.com/cyt-chardonnay-2007.html,3.69,Wine,"7,12,27,296"
Meursault Les Grands Charrons Michel Bouzereau 2005,,75cl,http://www.amathusdrinks.com/meursault-les-grands-charrons-michel-bouzereau-2005.html,15.14,Wine,"7,12,27,296"
Pedroncelli Dry Creek Valley Chardonnay 2009," ""Melon and baked apple nose, with great tropical fruit developing on the buttery palate. Vanilla and melon linger on the crisp finish."" ",75cl,http://www.amathusdrinks.com/pedroncelli-dry-creek-valley-chardonnay-2009.html,6.29,Wine,"7,12,27,381"
Domaine Moillard Hautes Côtes de Nuits Blanc 2007,"Tasting Note: ""Fantastic classic white burgundy, rich apple and lemon nose, soft vanilla hint. Baked apple and lemon rind on the palate that works well with the crisp medium acidity. Generous length.""
",75cl,http://www.amathusdrinks.com/domaine-moillard-bourgogne-hautes-cotes-de-nuits-blanc-2007.html,9.4,Wine,"7,12,27,389"
Domaine Moillard Chassagne-Montrachet 1er Cru 2006,"Tasting Note: “Top class, premium quality chardonnay. Well made with care and attention. Fruit and oak flavours work well together on the nose, and the classic mineral steely flavours are clear. Great depth of complex flavour on the palate that rank it among the great white burgundies, from a good vintage. Wonderful apple and toast long finish.""",75cl,http://www.amathusdrinks.com/domaine-moillard-chassagne-montrachet-1er-cru-2006.html,27.63,Wine,"7,12,27,389"
Domaine Moillard Côte de Nuits Villages Blanc 2007,"Tasting Note: “Classic elegant white burgundy – toasted wood and rich lemon flavours, apples and limestone on the palate; all balanced beautifully by a medium body and fresh acidity. Elegant and refined.”",75cl,http://www.amathusdrinks.com/domaine-moillard-cote-de-nuits-villages-blanc-2007.html,13.9,Wine,"7,12,27,389"
Domaine Vincent Sauvestre Chablis 2009,"“Attractive pale straw colour with typical crisp, citrus flavours which burst on the taste buds and long, mouth-filling fruit flavours which linger. Must be only slightly chilled so as not to hide the flavours. Ideal with all seafood and shellfish dishes and, surprisingly, soft cheeses.”
",75cl,http://www.amathusdrinks.com/domaine-vincent-sauvestre-chablis-2009.html,8.69,Wine,"7,12,27,445"
D. Vincent Sauvestre Chablis Premier Cru Beauroy 2008,"“Attractively pale gold in colour. A most distinctive Chablis packed with lots of citrus, green apple and pear flavours which linger in the mouth. An interesting mix of buttery smoothness with a mineral character. Lightly chilled it makes the perfect accompaniment to seafood of any kind as well as white meat dishes.”",75cl,http://www.amathusdrinks.com/domaine-vincent-sauvestre-chablis-premier-cru-beauroy-2008.html,12.79,Wine,"7,12,27,445"
Acrobat Chardonnay 2009,"""Kiwi and melon aromas, matched well by an intense rich melon and spice flavour on the palate. The rich buttery notes, are well balanced by the high natural acidity and long fruity finish."" ",75cl,http://www.amathusdrinks.com/acrobat-chardonnay-2009.html,4.59,Wine,"7,12,27,455"
Domaine Marguerite Carillon Meursault 2006,"Tasting Note: ""Baked apple and vanilla on the nose, rich sweet lemons and limes coming through on the palate, all balanced well by careful oak flavours that deepen the overall flavours and lengthen the wines finish. A good minerality also comes through as the wine develops in the glass. A very elegant yet rich wine.""
",75cl,http://www.amathusdrinks.com/domaine-marguerite-carillon-meursault-2006.html,23.6,Wine,"7,12,27,459"
Tenimenti Di Cangrande Soave DOC 2010,"Tasting Note: “Fresh lemons and apple nose, with great acidity, and a clean mineral flavour on the finish, a great simple, easy drinking wine!”",,http://www.amathusdrinks.com/teni-di-cangrande-soave-doc-2010.html,4.13,Wine,"7,12,280,513"
Archeo Grillo SiciIia IGT 2010,"Tasting Note: “Golden yellow with an intense aroma of passion fruit, pineapple and lemons.  Great palate with some light spices coming through on the finish.”
",,http://www.amathusdrinks.com/archeo-grillo-siciiia-igt-2010.html,5.09,Wine,"7,12,295,463"
Louis Sipp Riesling Nature'S 2008,"""Lime blossom and lanolin waxy aromas, followed by incredible citrus fruit and steely acidity on the palate. A dry, rich, lime and complex stoney finish."" ",75cl,http://www.amathusdrinks.com/louis-sipp-riesling-nature-s-2008.html,9.89,Wine,"7,12,297,377"
Louis Sipp Grand Cru Kirchberg Riesling 2006,"""Classic world class dry Alsatian Riesling. Steely acidity, balances the intensity of the lime, petrol and citrus flavours. The finish is incredibly long, with great intensity and freshness.""",75cl,http://www.amathusdrinks.com/louis-sipp-grand-cru-kirchberg-de-ribeauville-riesling-2006.html,15.24,Wine,"7,12,297,377"
Ewald Gruber Roschitz Riesling 2009 ,"“Classic lime and mineral nose, with high acid, a touch of sweetness and incredible intensity of lime and blossom on the palate! A great Austrian white.”",75cl,http://www.amathusdrinks.com/ewald-gruber-roschitz-riesling-2009.html,7.64,Wine,"7,12,297,395"
Evergreen Spruce Goose Oregon Riesling 2008,"“A beautiful perfumed bouquet of pears, limes and melons; balanced well by the smooth, subtle sweetness on the palate finishing with a crisp classic acidity and lime blossom.”",75cl,http://www.amathusdrinks.com/evergreen-spruce-goose-oregon-riesling-2008.html,9.49,Wine,"7,12,297,429"
Ewald Gruber Roschitz Grüner Veltliner 2009,"“White pepper and peaches are typical on the nose, fantastic pure lemon and sour peach fruit flavour on the palate, with complex spices developing. Very long mineral finish.” ",75cl,http://www.amathusdrinks.com/roschitz-weinviertel-dac-gruner-veltliner-2009.html,6.79,Wine,"7,12,298,395"
Louis Sipp Gewürztraminer Nature's 2009,"""Highly aromatic with Turkish delight, rose water, sweet spices, and lychees on the nose and palate. Medium acidity and a little sweetness balance this overload of flavour well, making it a very opulent enjoyable wine.""",75cl,http://www.amathusdrinks.com/louis-sipp-gewurztraminer-nature-s-2009.html,11.63,Wine,"7,12,304"
Louis Sipp Pinot Blanc Nature'S 2008,"""Mineral and lemon aromas, balanced by a rich chalk body and citrus fresh fruit flavours. A classic elegant finish, with flint and lemon rind developing.""",75cl,http://www.amathusdrinks.com/louis-sipp-pinot-blanc-nature-s-2008.html,7.59,Wine,"7,12,305,377"
Granbazán Albariño Etiqueta Verde 2009,"“Powerful peach and pineapple nose, with high natural acidity, crisp clean lemon and peach flavours on the palate. Long fruit driven length.”",75cl,http://www.amathusdrinks.com/granbazan-albarino-etiqueta-verde-2009.html,8.69,Wine,"7,12,321,391"
Granbazán Albariño Etequeta Ambar 2009,"“Peach, and stoned fruit aromas develop in the glass as the wine is swirled. The intense peach, apricot and sweet lemon flavours continue on the vibrant, crisp palate. Very long length of peaches and herbs.”",75cl,http://www.amathusdrinks.com/granbazan-albarino-etequeta-ambar-2009.html,10.63,Wine,"7,12,321,391"
Gróf Degenfeld Tokaji Furmint 2009,"“Classic spice and citrus fruit, high acidity and a complex palate with oak flavours, lemon, orange blossom and exotic spice.”",75cl,http://www.amathusdrinks.com/tokaji-furmint-2009-grof-degenfeld.html,8.49,Wine,"7,12,330,399"
Gróf Degenfeld Tokaji Muscat Lunel 2009,"“Floral and fresh orange nose, light dry style with intense floral and passion fruit flavours, a delight!”",75cl,http://www.amathusdrinks.com/tokaji-muscat-lunel-2009-grof-degenfeld.html,8.29,Wine,"7,12,331,399"
Gróf Degenfeld Tokaji Hárslevelű 2007,"“Pale lemon colour, mineral and vanilla nose, developing into rich spicy and flinty flavours on the off dry palate.”",75cl,http://www.amathusdrinks.com/tokaji-harslevelu-2007-grof-degenfeld.html,7.49,Wine,"7,12,332,399"
Il Poggio Gavi di Gavi Piemonte 2009,"Tasting Note: “Wonderful mineral and lime nose. Freshly cut green apples, limestone and lemons give a really “zing” to this wine which is complimented by the very crisp acidity. Hand produced by a winemaking mother, clearly making wines she loves.”",75cl,http://www.amathusdrinks.com/il-poggio-gavi-di-gavi-2007-piemonte.html,8.7,Wine,"7,12,339,417"
Domaine du Haut Banchereau Muscadet Server et Maine Sur Lie," “Lemon and brioche on the nose, with fresh acidity and almonds on the palate. Zesty citrus finish”",75cl,http://www.amathusdrinks.com/domaine-du-haut-banchereau-muscadet.html,5.15,Wines,"7,12,672"
Cloudy Bay Te Koko Sauvignon Blanc 2006,,75cl,http://www.amathusdrinks.com/cloudy-bay-te-koko-sauvignon-blanc-2004-2005.html,18.46,Wine,"7,12,91"
Cloudy Bay Sauvignon Blanc 2010,"Tasting Note: ""Scented and summery, the 2008 Cloudy Bay Sauvignon Blanc has deliciously vibrant aromatics that infuse the tropical fragrance of fresh passionfruit and juicy pineapples with garden-fresh basil and the spiciness of crushed tomato leaves. The palate is long and succulent, combining exotic fruits with ripe, red capsicum and a twist of green olive... beautifully complemented by crisp natural acidity and a hint of lime zest.""",75cl,http://www.amathusdrinks.com/cloudy-bay-sauvignon-blanc-2010.html,14.33,Wine,"7,12,91"
Pedroncelli Dry Creek Valley Sauvignon Blanc 2009,"""Aromatic with citrus and herbaceous notes. This wine is crisp, and offers many layers of flavour on the palate. Honeydew melon, grapefruit and tart apple flavours linger with a balanced acidity that adds a refreshing quality.""",75cl,http://www.amathusdrinks.com/pedroncelli-dry-creek-valley-sauvignon-blanc-2009.html,5.69,Wine,"7,12,91,381"
Domaine Georges Michel Golden Mile Sauvignon Blanc 2009,"Tasting Note: ""Classic cut grass, gooseberry nose, with great concentration on the palate.  High acidity and a good finish.""",75cl,http://www.amathusdrinks.com/georges-michel-golden-mile-sauvignon-blanc-2009.html,6.05,Wine,"7,12,91,387"
Seven Sisters Sauvignon Blanc 2009,"Tasting Note: ""Great crisp lemon and lime aromas, with cut grass and fresh passion fruit flavours on the palate. Dry, tropical finish, very elegant and classic of sauvignon blanc.""",75cl,http://www.amathusdrinks.com/seven-sisters-sauvignon-blanc-2009.html,5.13,Wine,"7,12,91,409"
Domaine La Barbotaine Sancerre 2008,"Tasting Note: “Classic lemon, cut grass and fresh asparagus nose, fresh high acidity and great mineral elegance makes this low volume, family made, hand cared for Sancerre stand out from the crowd.”",75cl,http://www.amathusdrinks.com/domaine-la-barbotaine-sancerre-2008.html,9.53,Wine,"7,12,91,421"
Camaleon Sauvignon Blanc 2010,"""Tropical pineapple, passion fruit and ripe gooseberry nose. Classic joyful South American easy drinking and refreshing Sauvignon. Great intensity of tropical fruit on the palate, well balanced with tangy acidity”",75cl,http://www.amathusdrinks.com/camaleon-sauvignon-blanc-2010.html,4.13,Wine,"7,12,91,449"
Les Barbottes Touraine Sauvignon Blanc 2008,"Tasting Note: ""Sharp lemon, grapefruit and fresh asparagus aromas on the nose. These continue on the palate, where great mineral chalk and granite like flavours join the green citrus fruit.  High acidity is matched by the bone dry feeling and light refreshing body.""
",75cl,http://www.amathusdrinks.com/les-barbottes-2008.html,5.13,Wine,"7,12,91,467"
Jean de Laroche Sauv. Blanc Vin de Pays du Val de Loire 2010,"Tasting Note: ""Passion fruit and freshly cut grass on the nose; followed by lemons, limes and chalk flavours on the palate. Refreshingly high acidity and a classic steely citrus finish."" ",75cl,http://www.amathusdrinks.com/jean-de-laroche-sauvignon-blanc-vin-de-pays-du-val-de-loire-2010.html,4.39,Wine,"7,12,91,479"
Miguel Torres Sauvignon Blanc 2009,"""Rich, intense tropical fruit. Fresh acidity and a long length.""",75cl,http://www.amathusdrinks.com/miguel-torres-sauvignon-blanc-2009.html,5.39,Wine,"7,12,91,503"
Caze Blanque Syrah Rosé Vin de Pay D'Oc 2009,"Tasting Note: ""Great fresh strawberries and sweet cherries, summer in a glass, but with a refined dry finish."" 
",75cl,http://www.amathusdrinks.com/caze-blanque-syrah-rose-vin-de-pay-d-oc-2008.html,4.24,Wine,"7,23,102,489"
Le Ballerine Pinot Grigio Rosé 2010,"Tasting Note: ""Sweet raspberries and redcurrants on the nose and palate, crisp acidity and a dry palate make this wine very more-ish!""",75cl,http://www.amathusdrinks.com/le-ballerine-pinot-grigio-rose-2010.html,4.39,Wine,"7,23,137,509"
Domaine Georges Michel Summer Folly Rosé 2008,"Tasting Note: “Elegant raspberries and cranberries on the nose, with intense redcurrants coming through on the palate; which is dry with crisp acidity giving the wine a great refreshing feel.”",75cl,http://www.amathusdrinks.com/george-michel-summer-folly-rose-2008.html,6.24,Wine,"7,23,178,387"
Domaine La Barbotaine Sancerre Rosé 2007,"Tasting Note: “Delicate aromas of sour strawberries, cranberries and redcurrants beautifully balanced by crisp acidity and sophisticated dry red berry flavours.  A serious rosé that is delicious by the glass, and pairs easily with food.”",75cl,http://www.amathusdrinks.com/domaine-la-barbotaine-sancerre-rose-2007.html,9.53,Wine,"7,23,178,421"
Latitud 34 Cabernet Sauvignon/Merlot Rose 2010,"Tasting Note: ""Great strawberry and raspberry nose, with ripe fruit flavours on the palate. An easy summer drink.""",75cl,http://www.amathusdrinks.com/latitud-34-cabernet-sauvignon-merlot-rose-2009.html,4.89,Wine,"7,23,24,437"
Camaleon Cabernet Sauvignon Rosé  2009,"“Strawberry and sweet plum nose, great rich red berry flavour on the palate, dry, but with sweet fruit flavours, well balanced by crisp acidity. Far too easy to drink!""",75cl,http://www.amathusdrinks.com/camaleon-cabernet-sauvignon-rose-2009.html,4.13,Wine,"7,23,24,449"
Miguel Torres Cabernet Sauvignon Rosé 2010,"""Raspberry and strawberry, summer fruit pudding on the nose, dry but intense on the palate, with a long finish of summer fruits.""",75cl,http://www.amathusdrinks.com/miguel-torres-cabernet-sauvignon-rose-2010.html,5.39,Wine,"7,23,24,503"
Finca Cerrada Tempranillo Rosé 2009,"""Strawberry and raspberry nose with a rich dry palate, classic sunny Spanish rosé.""",75cl,http://www.amathusdrinks.com/finca-cerrada-tempranillo-rose-2009.html,4.33,Wine,"7,23,319,519"
Mateus Rosé,,75cl,http://www.amathusdrinks.com/mateus-rose.html,4.58,Wine,"7,23,337"
Barão de Vilar Madeira Seco,"“Prunes and dried lemon rind on the nose, with intense nutty, rich, almost bitter notes on the complex, well balanced palate.”",75cl,http://www.amathusdrinks.com/barao-de-vilar-madeira-seco.html,8.39,Wine,"7,60,168,353,505"
Barão de Vilar Madeira Meio Seco,"“Nuts, dates and dried fruit aromas following through on the off dry palate. Great complexity and intensity of flavours on the finish.”",75cl,http://www.amathusdrinks.com/barao-de-vilar-meio-seco.html,8.39,Wine,"7,60,168,353,505"
Barão de Vilar Madeira Doce,"“Caramel and figs on the nose, with honey like sweetness on the palate, supported by high acidity, medium body and great nutty prune flavours.”",75cl,http://www.amathusdrinks.com/barao-de-vilar-doce.html,8.39,Wine,"7,60,168,353,505"
Taylor's Quinta de Vargellas 1998 ,,75cl,http://www.amathusdrinks.com/taylors-vargellas-1998.html,20.9,Wine,"7,60,182"
Cockburns Special Reserve ,,75cl,http://www.amathusdrinks.com/cockburns-special-reserve.html,9.66,Wine,"7,60,182"
Dows Quinta de Bomfim 1998,,75cl,http://www.amathusdrinks.com/dows-quinta-de-bomfim-1995-1998.html,22.34,Wine,"7,60,182"
Fonseca Guimaraens 1996,,75cl,http://www.amathusdrinks.com/fonseca-guimaraens-1996.html,20.34,Wine,"7,60,182"
Graham's Late Bottled Vintage (LBV) 2003,,75cl,http://www.amathusdrinks.com/grahams-l-b-v-2003.html,8.54,Wine,"7,60,182"
Warre's Otima 10yr Tawny,,50cl,http://www.amathusdrinks.com/warres-otima-10yr-tawny.html,10.98,Wine,"7,60,182"
Dows Ruby Port,,75cl,http://www.amathusdrinks.com/dows-ruby.html,7.66,Wine,"7,60,182"
Dows Fine White Port,,75cl,http://www.amathusdrinks.com/dows-fine-white-port.html,8.57,Wine,"7,60,182"
Taylor's 10yr Tawny,,75cl,http://www.amathusdrinks.com/taylors-10yr-tawny.html,15.94,Wine,"7,60,182"
Taylor's Late Bottled Vintage (LBV) 2004,,75cl,http://www.amathusdrinks.com/taylors-l-b-v-2003.html,9.94,Wine,"7,60,182"
Harveys Bristol Cream ,,75cl,http://www.amathusdrinks.com/harveys-bristol-cream.html,7.58,Wine,"7,60,198"
Harveys Amontillado ,,75cl,http://www.amathusdrinks.com/harveys-amontillado.html,8.12,Wine,"7,60,198"
Williams and Hubert  Dry Sack Amontillado ,,75cl,http://www.amathusdrinks.com/w-and-h-dry-sack-amontillado.html,6.57,Wine,"7,60,198"
Hildalgo Pedro Ximenez Triana ,,75cl,http://www.amathusdrinks.com/hildalgo-pedro-ximenez-triana.html,11.9,Wine,"7,60,198"
La Gitana Manzanilla ,,75cl,http://www.amathusdrinks.com/manzanilla-la-gitana.html,7.44,Wine,"7,60,198"
La Ina Fino,,75cl,http://www.amathusdrinks.com/la-ina.html,8.84,Wine,"7,60,198"
Dolin Chambery Dry,,75cl,http://www.amathusdrinks.com/dolin-chambery-dry.html,10.12,Wine,"7,60,210"
Chamberyzette,,75cl,http://www.amathusdrinks.com/chamberyzette.html,10.26,Wine,"7,60,210"
Cinzano Bianco ,,75cl,http://www.amathusdrinks.com/cinzano-bianco.html,5.98,Wine,"7,60,210"
Vya Dry White,,75cl,http://www.amathusdrinks.com/vya-dry-white.html,14.04,Wine,"7,60,210"
Martini Bianco ,,75cl,http://www.amathusdrinks.com/martini-bianco.html,5.92,Wine,"7,60,210"
Martini Dry ,,75cl,http://www.amathusdrinks.com/martini-dry.html,5.92,Wine,"7,60,210"
