productid	name	brand	offerid	category	description	price	image	url	availability	shipping	special	expirationdate	oldprice
198	Sherry Garvey Fino San Patricio	Garvey	M-1124	Sherry/Madeira	Flascheninhalt: 0,75 ltr. Charakter:Ein trockener Sherry mit einem milden und an Mandeln erinnernden Aroma. Goldgelbe Farbe. Serviertemperatur: 8-12° C. Die Bodega Die Firma Garvey wurde 1780 von William Garvey gegründet, der zu dieser Zeit in Andalusien Pferdezüchter war. Nach der Heirat mit einer Andalusierin wuchs seine Sherry Bodega rasch. Seine unternehmerischen Eigenschaften, harte Arbeit und ein scharfer Geschäftssinn, wurden von den nachfolgenden Generationen übernommen. Sein Sohn verschiffte 1803 zum ersten mal in der Geschichte des Sherry, den meist nur von den Weinbergarbeitern getrunkenen "Fino", trotz des Hohns seiner Konkurrenten, sehr erfolgreich und somit war der San Patricio "Fino" der erste original Fino außerhalb Spaniens. Danach vergrößerte sich der Garvey-Besitz (Weinberge und Bodegen) kontinuierlich. Heute besitzt Garvey rund 500 Hektar Weinberge, von denen die meisten in der "premium" Gegend liegen. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	9.90		http://www.a-vino.de/index.php?main_page=product_info&products_id=198	ab Lager	0.00			
199	Guigal - CONDRIEU "LA DORIANE" AC - 2005	E.Guigal	S-1632-05	Weisswein|Frankreich	Limitierter Wein: Verfügbarkeit auf Anfrage Im Condrieu besitzt Guigal zwei Traumlagen die unter dem Namen La Doriane abgefüllt werden Flascheninhalt: 0,75 ltr. Charakter: volles Bouquet von exotischen Früchten mit Nuancen von frischen Wiesenkräutern, hochfeine Note von Vanille und Nüssen, lang anhaltend Das Weingut: Als der Vater von Marcel Guigal 1946 das heute zu den bedeutendsten Weingütern der Rhône gehörende Unternehmen gründete, konnte er nicht ahnen, dass für seine spektakulären Crus der COTE ROTIE einmal Preise wie für die Premiers Grands Crus Classés aus Bordeaux bezahlt werden und die Nachfrage immer größer ist als die vorhandene Menge. "LA MOULINE", "LA TURQUE" und "LA LANDONNE" sind Namen, die selbst Robert Parker regelmäßig zu philosophischen Beifallsbekundungen animieren und die Punkteleiter in die Höhe schnellen lässt. Und, wie Marcel Guigal immer wieder betont: "Warten können, ist das Geheimnis des Côte-Rôtie". Erst nach 6-10 Jahren entdeckt man sein ganzes Potential, seine unglaubliche Fülle und Konzentration. Nun, die Palette von Marcel und Philippe Guigal besteht nicht nur aus unbezahlbaren und raren Crus, sondern auch aus köstlichen Weinen aus allen Appellationen der Rhône. Die Etiketten sind nicht schön und wohl auch nicht von Designern kreiert, aber sie fallen auf und sind unverkennbar: GUIGAL!. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	57.00	http://www.a-vino.de/images/guigal_condrieu_la_doriane.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=199	ab Lager	0.00			
321	Meo Camuzet - Vosne Romanee 1er Cru " Les Chaumes " AC - 2000	Meo Camuzet	S-1362-0	Rotwein|Frankreich	Rarität: Verfügbarkeit nur auf Anfrage Flascheninhalt: 0,75 ltr. Region: Bourgogne Charakter: reicher Duft nach Himbeeren und Weichseln, elegante Aromen von Wildkräutern und exotischen Gewürzen, stattliche Fülle, Finesse Das Weingut: Die Domaine Méo Camuzet gehört zu den ganz großen der Côtes de Nuits mit besten Lagen in Vosne Romanée und Nuits St. Georges. Jean-Nicolas Méo hatte das große Glück, daß er zusammen mit dem großen Weinmacher, Henri Jayer, seine schon sehr profunden Kenntnisse erweitern und ausbauen konnte. Kompro-misslos ist das Stichwort, wenn es um die Pflege der alten Rebstöcke, die handverlesene Ernte und das vollständige Entrappen der Beeren vor der Maischegärung geht. Das sind die Voraussetzungen für große Bur-gunder von Weltklasse. In Spitzenjahren erreichen die Dorflagen von Vosne Romaneé ohne weiteres das Niveau von Premier- und Grand Cru-Weinen. Die Weine zeichnen sich durch ihren außerordentlichen Charak-ter, konzentrierte und tiefe Struktur sowie eine großartige Finesse aus. Sie haben eine Tiefe und Nachhaltig-keit, wie man sie nur bei wenigen Burgundern findet und sind durch ihre große Harmonie und Fülle einfach köstlich und einmalig. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	105.00	http://www.a-vino.de/images/camuzet_vosne.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=321	ab Lager	0.00			
533	Castell del Remei - 1780 Tinto - 2003	Castell del Remei	A-ES331804	Rotwein|Spanien	Zurecht mehrfach ausgezeichnet (Verfügbarkeit bitte Anfragen) Der Ausbau dieser stets nur limitiert erhältlichen Top-Cuvee erfolgt grundsätzlich für 12 Monate in neuen Eichenfässern. Flascheninhalt: 0,75 ltr. Charakter:Intensives Kirschrot mit Purpur-Reflexen; reife Aromen von Waldbeeren dominieren das ausdruckstarke Bukett, verbunden mit mineralischen Noten und Anklägen von Lakritz. Sehr dichte Struktur, markanter Körper; elegant und filigran. Lang anhaltender Abgang. Rebsorte:Cabernet Sauvignon (60%), Tempranillo (30%), Garnacha Tinta (10%) Region: Costers del Segre Das Weingut: Die Bodega liegt in La Fuliola/Lleida, 120 km entfernt von Barcelona, im Westen Kataloniens, in der D.O. Costers del Segre. Das von Don Ignasi Girona Vilanova 1870 gegründete Unternehmen was das erste der Region, das unter eigenem Namen Flaschenweine abfüllte. Weitsicht besaß der Gründer auch, als er Anfang des 20. Jahrhunderts als einer der ersten Weingutsbesitzer in Spanien französische Rebsorten anpflanzte, um die von der Reblausplage zerstörten Weinberge zu ersetzen. Die Kellerei- und Weinbergsbesitzungen wurden in der jüngeren Vergangenheit restauriert bzw. durch Neubauten erweitert. Vinifiziert werden die Weine heute in einer Kellerei, in dem Tradition und Moderne Hand in Hand arbeiten. Castell del Remei verfügt über mehr als 80 ha eigene Rebberge, die innerhalb der dazugehörigen 400 ha Landbesitz liegen. Weiteres Traubengut liefern bei Bedarf befreundete lokale Erzeuger aus der Region. Die Weinerzeugung steht heute unter Aufsicht der Önologin Blanca Ozcariz. Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	34.50	http://www.a-vino.de/images/1780_Tinto.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=533	ab Lager	0.00			
203	Emilio Hidalgo - Sherry Panesa Fino	Emilio Hidalgo	A-ES204202	Sherry/Madeira	Flascheninhalt: 0,75 ltr. Charakter: Leichter extra trockener Sherry von heller strohgelber Farbe, delikat, bekömmlich im Geschmack; wunderbare Mandelaromen im Bukett. Empfohlen als erfrischender Aperitif oder als Essensbegeleiter zu Fisch, Meeresfrüchten, Kanapees oder der mediterranen Sommerküche. Unbedingt gekühlt servieren, entfaltet seine Aromen dann deutlich besser. Alkohol: 15.00% Säure: 3,83 g/l Restzucker: 	6.95	http://www.a-vino.de/images/hidalgo_panesa.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=203	ab Lager	0.00			
204	Emilio Hidalgo - Sherry Charito Manzanilla	Emilio Hidalgo	A-ES204205	Sherry/Madeira	Flascheninhalt: 0,75 ltr. Charakter: Appetit anregender Aperitif der gut gekühlt ausgezeichnet zu Tapas, Fisch und Meeresfrüchten passt. Helle strohgelbe Farbe, angenehm trocken und leicht im Geschmack Alkohol: 15.00% Säure: 3,50 g/l Restzucker: 	6.95	http://www.a-vino.de/images/hidalgo_charito.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=204	ab Lager	0.00			
205	Emilio Hidalgo - Sherry Amontillado Medium dry	Emilio Hidalgo	A-ES204201	Sherry/Madeira	Flascheninhalt: 0,75 ltr. Charakter: Bernsteinfarbener, halbtrockener Sherry, elegant und mild im Geschmack, mit einer dezenten Restsüsse versehen, die dem Gaumen sanft schmeichelt. Leicht gekühlt, ein stilvoller Aperitif. Alkohol: 17.00% Säure: 4,59 g/l Restzucker: k.A.l Rebsorte: Palomino Fino (100%) Fassreife: Solera-System Emilio HidalgoDas Sherryhaus gibt es bereits seit 1874 und ist auch heute noch im Besitz der Familie. Die große Produktpalette umfasst nahezu alle Varianten des Sherry. Die Sherrys der Kellerei stellen Kleinode dar, die immer wieder von der Fachpresse gewürdigt werden, können sich qualitativ mit den besten messen, kosten aber weniger. . Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	7.60	http://www.a-vino.de/images/hidalgo_amontillado.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=205	ab Lager	0.00			
206	Emilio Hidalgo - Sherry Gobernador Oloroso Seco	Emilio Hidalgo	A-ES204203	Sherry/Madeira	Flascheninhalt: 0,75 ltr. Charakter: Mahagoni-farbener, nobler Sherry, perfekt gereift, angenehmes, kräftiges nussiges Aroma; trocken, vollmundig; empfiehlt sich (leicht gekühlt) als Aperitif oder als Begleiter zu raffinierten Fleischgerichten. Alkohol: 20.00% Säure: 5,35 g/l Restzucker: < 1,00 g/l Rebsorte: Palomino Fino (100%) Fassreife: Solera-System Auszeichnung: 17/20 Punkten, Berliner Weinführer 2005 Emilio HidalgoDas Sherryhaus gibt es bereits seit 1874 und ist auch heute noch im Besitz der Familie. Die große Produktpalette umfasst nahezu alle Varianten des Sherry. Die Sherrys der Kellerei stellen Kleinode dar, die immer wieder von der Fachpresse gewürdigt werden, können sich qualitativ mit den besten messen, kosten aber weniger. . Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	15.95	http://www.a-vino.de/images/hidalgo_gobernador.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=206	ab Lager	0.00			
207	Emilio Hidalgo - Sherry Morenita Cream	Emilio Hidalgo	A-ES204204	Sherry/Madeira	Flascheninhalt: 0,75 ltr. Charakter: Gehaltvoller Sherry, mit angenehmer, nicht übertriebener Süsse ausgestattet. Deutlich sind die ausgeprägten Aromen der edlen Pedro-Ximenez-Traube in Form von Rosinen-ähnlichen Nuancen zu schmecken. Ein perfekter Begleiter zu raffinierten Desserts und trockenem Gebäck. Echte Sherry-Freunde geniessen ihn natürlich auch pur.. Alkohol: 18.00% Säure: 4.50 g/l Restzucker: 100,00 g/l Rebsorte: Palomino Fino (80%), Pedro Ximenez (20%) Fassreife: Solera-System Emilio HidalgoDas Sherryhaus gibt es bereits seit 1874 und ist auch heute noch im Besitz der Familie. Die große Produktpalette umfasst nahezu alle Varianten des Sherry. Die Sherrys der Kellerei stellen Kleinode dar, die immer wieder von der Fachpresse gewürdigt werden, können sich qualitativ mit den besten messen, kosten aber weniger. . Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	7.65	http://www.a-vino.de/images/hidalgo_morenita.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=207	ab Lager	0.00			
208	Emilio Hidalgo - Sherry Pedro Ximenez	Emilio Hidalgo	A-ES204210	Sherry/Madeira	Flascheninhalt: 0,75 ltr. Charakter: Der aus selektiertem Traubengut erzeugte edelsüsse Sherry, dessen Farbe an dunkles Mahagoni erinnert, stellt die Krönung eines jeden Menüs dar. Der konzentrierte Geschmack nach Rosinen ist überwältigend und aromenreich. Purer Nektar. Alkohol: 18.00% Säure: 3,50 g/l Restzucker: 200,00 g/l Rebsorte: Pedro-Ximenez (100%) Fassreife: Solera-System Auszeichnung: Gold-Medaille, International Wine Contest Bacchus 2002; 16,5/20 Punkten, Berliner Weinführer 2005; Emilio HidalgoDas Sherryhaus gibt es bereits seit 1874 und ist auch heute noch im Besitz der Familie. Die große Produktpalette umfasst nahezu alle Varianten des Sherry. Die Sherrys der Kellerei stellen Kleinode dar, die immer wieder von der Fachpresse gewürdigt werden, können sich qualitativ mit den besten messen, kosten aber weniger. . Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	19.80	http://www.a-vino.de/images/hidalgo_pedro.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=208	ab Lager	0.00			
209	Marques de Grinon - El Rincon Tinto 2004	Marques de Grinon	A-ES430101	Rotwein|Spanien	Limitierter Wein. Verfügbarkeit bitte Anfragen. Ein großartiger Schmeichler eines Winzergenies für alle, die weiche Rotweine lieben. Flascheninhalt: 0,75 ltr. Region: Dominio de Valdepusa Charakter:Dunkles, brillantes Purpurrot füllt das Glas aus. Elegante, komplexe Nase mit intensiver Frucht, floralen und mineralischen Noten, Würzaromen, Karameltönen. Langer ausbalancierter Abgang mit weichen Tanninen.. Degustationsbeschreibung Die unfiltrierte Cuvée besteht aus den Rebsorten Syrah und Garnacha Tinto. Trotz der weichen Tannine zeigt "El Rincon" eine schöne Mineralität. Im Aromenspektrum entfalten sich Schwarzkirsche, Datteln, Marzipan, florale Noten und etwas Zimt. Die zehn Monate im Barrique-Fass merkt man dem Wein ebenso wenig an wie die 14,5 Volumenprozent Alkohol. Rebsorte: Syrah / Garnacha Tinta Alkohol: 14,50% Säure: 3,36 g/l Restzucker: 2,10 g/l Fassreife: 10 Monate in französischer Nevers- und Allier-Eiche Das Weingut Seit Parkers 95er Ritterschlag mit fünf Spitzenbewertungen genießen Carlos Falcós Weine große Beachtung. Zusammen mit seinem langjährigen Weinmacher Julio Lopez realisiert er in Malpica de Tajo, 50 km von Toledo entfernt gelegen, die vorzüglichen Dominio-de-Valdepusa-Estate-Weine. Unter Ertrag stehen 45 ha Rebstöcke mit Cabernet Sauvignon, Syrah, Petit Verdot und Merlot. Drei bis sechs Wochen dauert die Skin-Maceration voll ausgereifter Trauben. Das Resultat sind intensive Tannine, dichte Farbe und Konzentration. Der Ausbau erfolgt grundsätzlich in französischen Eichenfässern, 1.000 Barriques stehen dafür im klimatisierten Barriquekeller zur Verfügung. Mit der Anpflanzung der im Bordeaux vergessenen Petit-Verdot-Traube, der von der Rhône stammenden Syrah-Traube und den daraus erzeugten Weinen schuf der 69-jährige Carlos Falcó den Grundstein für seine Rotweine ("Ein moderner Aristokrat, der nicht müde wird, seine Ideen in die Tat umzusetzen.", Friedhelm Mühleib, Alles über Wein 1/2005). Mit der aus Cabernet Sauvignon, Syrah und Merlot erzeugten Cuvée Dominio de Valdepusa Eméritus krönt der Weinadlige sein Lebenswerk: das Beste von drei Rebsorten in einem opulenten Wein. Vor drei Jahren wurde der Dominio de Valdepusa die Ehre zuteil, als erste Einzellage Spaniens den Status einer D.O. verliehen zu bekommen: D.O. Dominio de Valdepusa steht seit dem Jahrgang 2002 auf den Flaschen der Pagos de Familia de Marqués de Griñón. . Preis-Info: Preis inkl. 19% MwSt., + Versand (siehe Information), Preis pro Liter;	14.65	http://www.a-vino.de/images/el_Rincon.jpg	http://www.a-vino.de/index.php?main_page=product_info&products_id=209	ab Lager	0.00			
